stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Usuario\Desktop\Jogos\Pong CodeBlocks\ProjetoPong\bin\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.12471] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12478] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12484] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12490] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12501] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12509] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12515] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12522] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12527] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12534] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12539] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12546] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12551] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12558] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12563] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12570] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12576] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12582] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12588] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12594] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12600] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12607] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12613] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12619] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12624] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
